"scenario","method","log_BF","effect_size","sample_size"
"3","BFGC",-0.681628782374093,"0.0","50"
"3","JZS",-0.671030929388312,"0.0","50"
"3","BFGC",-0.702109107109488,"0.0","50"
"3","JZS",-0.397318620234072,"0.0","50"
"3","BFGC",-0.414856329867503,"0.0","50"
"3","JZS",-0.638373168997614,"0.0","50"
"3","BFGC",-0.667841608540745,"0.0","50"
"3","JZS",-0.648762842991686,"0.0","50"
"3","BFGC",-0.678593757928098,"0.0","50"
"3","JZS",-0.238284135985586,"0.0","50"
"3","BFGC",-0.24762867855902,"0.0","50"
"3","JZS",-0.164929074424345,"0.0","50"
"3","BFGC",-0.174370992669641,"0.0","50"
"3","JZS",-0.675940055208356,"0.0","50"
"3","BFGC",-0.70730047449811,"0.0","50"
"3","JZS",-0.6074774580805,"0.0","50"
"3","BFGC",-0.635270294563682,"0.0","50"
"3","JZS",-0.598047344741285,"0.0","50"
"3","BFGC",-0.624885244502085,"0.0","50"
"1","JZS",-0.264952628496912,"0.0","50"
"1","BFGC",-0.277915367839339,"0.0","50"
"3","JZS",-0.674831909797252,"0.0","50"
"3","BFGC",-0.706129344368303,"0.0","50"
"3","JZS",-0.27093229840889,"0.0","50"
"3","BFGC",-0.284447961738213,"0.0","50"
"3","JZS",-0.587240234846834,"0.0","50"
"3","BFGC",-0.613481726158628,"0.0","50"
"3","JZS",-0.584724544199718,"0.0","50"
"3","BFGC",-0.611215322161496,"0.0","50"
"3","JZS",-0.460465207257504,"0.0","50"
"3","BFGC",-0.477515406355505,"0.0","50"
"3","JZS",-0.643299720261965,"0.0","50"
"3","BFGC",-0.672927334058885,"0.0","50"
"3","JZS",-0.675566593066108,"0.0","50"
"3","BFGC",-0.706906187508495,"0.0","50"
"3","JZS",-0.38768871128203,"0.0","50"
"3","BFGC",-0.405927910057522,"0.0","50"
"3","JZS",-0.607140532980346,"0.0","50"
"3","BFGC",-0.634654367989044,"0.0","50"
"3","JZS",-0.6409044379809,"0.0","50"
"3","BFGC",-0.669973895161233,"0.0","50"
"1","JZS",-0.570168422612758,"0.0","50"
"1","BFGC",-0.596527899697893,"0.0","50"
"3","JZS",-0.478562151011622,"0.0","50"
"3","BFGC",-0.50025075592025,"0.0","50"
"3","JZS",-0.674711595858198,"0.0","50"
"3","BFGC",-0.706009023985232,"0.0","50"
"3","JZS",-0.675607895191774,"0.0","50"
"3","BFGC",-0.706949233313451,"0.0","50"
"3","JZS",-0.663679413198025,"0.0","50"
"3","BFGC",-0.694433802091221,"0.0","50"
"3","JZS",0.315055197169966,"0.0","50"
"3","BFGC",0.321549783157563,"0.0","50"
"3","JZS",0.128201492468755,"0.0","50"
"3","BFGC",0.12807748444872,"0.0","50"
"3","JZS",-0.206613744924464,"0.0","50"
"3","BFGC",-0.216315955010008,"0.0","50"
"3","JZS",-0.429601943744349,"0.0","50"
"3","BFGC",-0.448873580020769,"0.0","50"
"3","JZS",-0.650297488331924,"0.0","50"
"3","BFGC",-0.680127183229935,"0.0","50"
"3","JZS",-0.632549013155875,"0.0","50"
"3","BFGC",-0.660834854330629,"0.0","50"
"1","JZS",-0.60349546798115,"0.0","50"
"1","BFGC",-0.631302391820332,"0.0","50"
"3","JZS",0.451544227007672,"0.0","50"
"3","BFGC",0.459604634821005,"0.0","50"
"3","JZS",-0.661840346428456,"0.0","50"
"3","BFGC",-0.692338259224442,"0.0","50"
"3","JZS",-0.579375979264495,"0.0","50"
"3","BFGC",-0.605731221575469,"0.0","50"
"3","JZS",-0.531330291203709,"0.0","50"
